26.0328800000,0.0000000000
26.1500100000,0.0000000000
30.5905700000,0.0000000000
31.1418900000,0.0000000000
158.6910000000,0.0000000000
158.9090000000,0.0000000000
163.0650000000,0.0000000000
163.3770000000,0.0000000000
173.1700000000,0.0000000000
174.7380000000,0.0000000000
180.0570000000,0.0000000000
1755.1800000000,0.0000000000
111410.0000000000,0.0000000000
391136.2000000000,0.0059145513
393758.6000000000,0.0070066367
400009.3000000000,0.0085767283
407699.2000000000,0.0112641675
408725.1000000000,0.0114066128
429899.0000000000,0.0146835310
441920.0000000000,0.0138615933
473560.0000000000,0.0205103929
476033.0000000000,0.0102634024
476390.0000000000,0.0102959481
477479.0000000000,0.0150314433
480032.0000000000,0.0153987124
480270.0000000000,0.0219596212
481320.0000000000,0.0075313354
483901.0000000000,0.0191719317
486210.0000000000,0.0233088284
489388.0000000000,0.0240569500
493438.0000000000,0.0292524437
496085.0000000000,0.0300454877
499849.0000000000,0.0312028523
505972.0000000000,0.0282734301
512877.0000000000,0.0207580442
514773.0000000000,0.0173314555
554763.0000000000,0.0162900009
557757.0000000000,0.0190506193
