44.9328800000,0.0000000000
45.0487400000,0.0000000000
52.9928500000,0.0000000000
53.5397900000,0.0000000000
279.5159000000,0.0000000000
279.7814000000,0.0000000000
283.9660000000,0.0000000000
284.3346000000,0.0000000000
293.8715000000,0.0000000000
295.4350000000,0.0000000000
300.4110000000,0.0000000000
5283.3500000000,0.0000000000
72872.8000000000,0.0000020550
73082.0400000000,0.0000020847
75277.5700000000,0.0000024172
94313.1680000000,0.0000021219
94896.5700000000,0.0000020814
95407.8400000000,0.0000021253
95624.3400000000,0.0000022398
95635.0620000000,0.0000021450
95696.0880000000,0.0000021503
95737.4040000000,0.0000021539
95886.7050000000,0.0000021670
97088.7600000000,0.0000022741
97321.4200000000,0.0000023989
97674.8400000000,0.0000021424
98054.5100000000,0.0000024701
98235.2800000000,0.0000024878
98424.5300000000,0.0000023972
98522.0590000000,0.0000022138
98589.5200000000,0.0000025229
98838.6900000000,0.0000024364
99594.9000000000,0.0000025089
99757.6000000000,0.0000025247
99781.4100000000,0.0000025270
99925.8700000000,0.0000021917
99938.0500000000,0.0000026594
100146.9000000000,0.0000025627
100492.9240000000,0.0000022386
100534.9500000000,0.0000027215
100644.8940000000,0.0000022513
100745.0440000000,0.0000022596
100812.7680000000,0.0000022653
100858.6220000000,0.0000022692
101024.3360000000,0.0000022831
101416.4600000000,0.0000024701
101538.6700000000,0.0000027020
101729.1540000000,0.0000028486
102031.9640000000,0.0000028814
102154.9100000000,0.0000027653
102832.3900000000,0.0000026025
102857.6900000000,0.0000026049
103157.6190000000,0.0000030059
103388.1450000000,0.0000028950
103423.4690000000,0.0000028988
103648.3800000000,0.0000029229
103700.9300000000,0.0000029286
103845.4000000000,0.0000025293
103899.0130000000,0.0000030898
104072.1780000000,0.0000029687
104306.5500000000,0.0000025711
104412.9860000000,0.0000030059
104726.0000000000,0.0000027869
105069.4790000000,0.0000032256
105630.1330000000,0.0000031413
105764.5700000000,0.0000027065
106322.1300000000,0.0000032201
106548.4060000000,0.0000034029
106664.0260000000,0.0000034170
106694.5270000000,0.0000029876
106840.1550000000,0.0000032799
106928.2430000000,0.0000034495
106971.6940000000,0.0000030166
107225.2100000000,0.0000034862
107701.0910000000,0.0000035456
107786.3100000000,0.0000031030
108006.7000000000,0.0000029238
108214.5700000000,0.0000036104
108229.2300000000,0.0000034441
108369.7120000000,0.0000034610
108489.3200000000,0.0000034755
108581.9550000000,0.0000034867
109083.8620000000,0.0000032440
109221.5300000000,0.0000037400
109386.2200000000,0.0000030630
109562.3610000000,0.0000036069
109677.5680000000,0.0000030929
109736.4100000000,0.0000030990
109822.0090000000,0.0000033261
110152.2180000000,0.0000031422
110534.0830000000,0.0000031821
110699.2200000000,0.0000166235
111136.1900000000,0.0000038055
111240.2300000000,0.0000170337
111857.9300000000,0.0000035596
111899.0530000000,0.0000033277
112234.7480000000,0.0000036040
112554.1600000000,0.0000041911
112675.9270000000,0.0000034125
113257.8850000000,0.0000034770
114820.0700000000,0.0000036539
114978.1970000000,0.0000036721
115112.8470000000,0.0000036877
115217.1440000000,0.0000036998
116321.6410000000,0.0000038294
116920.8300000000,0.0000039009
118097.2200000000,0.0000040439
119580.7300000000,0.0000244515
133489.1000000000,0.0000023073
136463.4000000000,0.0000020958
137005.7000000000,0.0000023637
137141.8000000000,0.0000023705
137264.1000000000,0.0000021081
137349.2000000000,0.0000021118
139789.9000000000,0.0000024117
140018.2000000000,0.0000024202
141631.8000000000,0.0000021752
142937.5000000000,0.0000024661
143174.5000000000,0.0000021989
144174.6000000000,0.0000022167
144915.5200000000,0.0000029258
145124.4000000000,0.0000029378
145333.3000000000,0.0000022345
145558.8000000000,0.0000025113
145712.5000000000,0.0000025186
149230.4600000000,0.0000030129
151453.9000000000,0.0000026130
152539.7900000000,0.0000030797
152771.2400000000,0.0000030926
153219.4000000000,0.0000026434
155164.5800000000,0.0000035467
155516.2100000000,0.0000035691
156538.3600000000,0.0000031689
158874.4700000000,0.0000032162
159434.8900000000,0.0000032189
160121.8800000000,0.0000036600
160496.3600000000,0.0000036834
160528.9000000000,0.0000032410
160785.2500000000,0.0000032548
163938.0700000000,0.0000037472
164449.9100000000,0.0000037741
165187.0000000000,0.0001229927
166534.9500000000,0.0000033623
168283.8600000000,0.0000038466
168672.0600000000,0.0000034054
170218.6000000000,0.0000034458
170926.7710000000,0.0001458983
171543.2500000000,0.0000034634
171836.0000000000,0.0000034785
171929.1000000000,0.0000039299
172360.9000000000,0.0000039557
173201.9800000000,0.0000039590
176613.3040000000,0.0001718371
180214.4800000000,0.0000041193
180689.0000000000,0.0000041468
182719.7500000000,0.0000041765
184198.4000000000,0.0000042103
184770.7920000000,0.0002153607
186093.8800000000,0.0000042537
186599.9000000000,0.0000042825
192226.7830000000,0.0000062937
193349.4570000000,0.0000283347
193746.4080000000,0.0000064224
196732.5260000000,0.0000060194
199431.7190000000,0.0000292261
199893.5960000000,0.0000065447
200133.2640000000,0.0000317052
201655.5740000000,0.0000302822
202653.3530000000,0.0000067736
203458.0930000000,0.0000311546
206063.6360000000,0.0000067467
206182.1214000000,0.0003726104
206657.0140000000,0.0000327387
207050.4570000000,0.0003805230
207620.4790000000,0.0000068823
208848.5050000000,0.0000069828
208997.6410000000,0.0000069857
209555.3850000000,0.0000367669
210159.7410000000,0.0000070814
211206.5210000000,0.0000079863
211449.4220000000,0.0000378383
212111.0870000000,0.0000310842
212146.7500000000,0.0000072560
212609.1760000000,0.0000081186
212970.5110000000,0.0000069819
214620.6520000000,0.0000083100
214628.4910000000,0.0000322303
